"Time (seconds, starts at 7:05:00)","Blood concentration (Cp, mcg/ml)","Effect-site concentration (Ce, mcg/ml)",Predicted BIS,Computed BIS,AMI,SMI
4835,0.92,1.29,77.6,,,
4840,0.92,1.29,77.7,,,
4845,0.92,1.28,77.8,,,
4850,0.92,1.28,77.9,,,
4855,0.92,1.27,78,,,
4860,0.91,1.27,78,,,
4865,0.91,1.26,78.1,,,
4870,0.91,1.26,78.2,,,
4875,0.91,1.26,78.3,,,
4880,0.91,1.25,78.3,,,
4885,0.9,1.25,78.4,,,
4890,0.9,1.24,78.5,,,
4895,0.9,1.24,78.6,,,
4900,0.9,1.24,78.6,,,
4905,0.9,1.23,78.7,,,
4910,0.89,1.23,78.8,,,
4915,0.89,1.23,78.8,,,
4920,0.89,1.22,78.9,,,
4925,0.89,1.22,79,,,
4930,0.89,1.21,79.1,,,
4935,0.88,1.21,79.1,,,
4940,0.88,1.21,79.2,,,
4945,0.88,1.2,79.3,,,
4950,0.88,1.2,79.3,,,
4955,0.88,1.2,79.4,,,
4960,0.87,1.19,79.5,,,
4965,0.87,1.19,79.5,,,
4970,0.87,1.18,79.6,,,
4975,0.87,1.18,79.7,,,
4980,0.87,1.18,79.7,,,
4985,0.86,1.17,79.8,,,
4990,0.86,1.17,79.9,,,
4995,0.86,1.17,79.9,,,
5000,0.86,1.16,80,,,
5005,0.86,1.16,80.1,,,
5010,0.85,1.16,80.1,,,
5015,0.85,1.15,80.2,,,
5020,0.85,1.15,80.2,,,
5025,0.85,1.15,80.3,,,
5030,0.85,1.14,80.4,,,
5035,0.85,1.14,80.4,,,
5040,0.84,1.14,80.5,,,
5045,0.84,1.13,80.6,,,
5050,0.84,1.13,80.6,,,
5055,0.84,1.13,80.7,,,
5060,0.84,1.12,80.7,,,
5065,0.83,1.12,80.8,,,
5070,0.83,1.12,80.9,,,
5075,0.83,1.11,80.9,,,
5080,0.83,1.11,81,,,
5085,0.83,1.11,81,,,
5090,0.83,1.1,81.1,,,
5095,0.82,1.1,81.1,,,
5100,0.82,1.1,81.2,,,
5105,0.82,1.09,81.3,,,
5110,0.82,1.09,81.3,,,
5115,0.82,1.09,81.4,,,
5120,0.81,1.08,81.4,,,
5125,0.81,1.08,81.5,,,
5130,0.81,1.08,81.5,,,
5135,0.81,1.08,81.6,,,
5140,0.81,1.07,81.6,,,
5145,0.81,1.07,81.7,,,
5150,0.8,1.07,81.7,,,
5155,0.8,1.06,81.8,,,
5160,0.8,1.06,81.9,,,
5165,0.8,1.06,81.9,,,
5170,0.8,1.05,82,,,
5175,0.8,1.05,82,,,
5180,0.79,1.05,82.1,,,
5185,0.79,1.05,82.1,,,
5190,0.79,1.04,82.2,,,
5195,0.79,1.04,82.2,,,
5200,0.79,1.04,82.3,,,
5205,0.79,1.03,82.3,,,
5210,0.78,1.03,82.4,,,
5215,0.78,1.03,82.4,,,
5220,0.78,1.03,82.5,,,
5225,0.78,1.02,82.5,,,
